4 REAL	for real
AFAIK	As Far As I Know
AFK	Away From Keyboard
ASAP	As Soon As Possible
ATK	At The Keyboard
ATM	At The Moment
ASL	Age, Sex, Location
A3	Anytime, Anywhere, Anyplace
BAK	Back At Keyboard
BBL	Be Back Later
BBS	Be Back Soon
BFN	Bye For Now
BOUT	About
B4N	Bye For Now
BRB	Be Right Back
BRT	Be Right There
BTW	By The Way
B4	Before
B4N	Bye For Now
CU	See You
CUL8R	See You Later
CYA	See You
FAQ	Frequently Asked Questions
FC	Fingers Crossed
FU	Fuck you
F***	Fuck
FWIW	For What It's Worth
FYI	For Your Information
GAL	Get A Life
GG	Good Game
GN	Good Night
GMTA	Great Minds Think Alike
GR8	Great!
G9	Genius
HRU	How re you
IC	I See
ICQ	I Seek you (also a chat program)
ILU	ILU: I Love You
IM	I am
IMHO	In My Honest/Humble Opinion
IMO	In My Opinion
IOW	In Other Words
IRL	In Real Life
KISS	Keep It Simple, Stupid
LDR	Long Distance Relationship
LEMME	Let me
LMAO	Laugh My A.. Off
LOL	Laughing Out Loud
LTNS	Long Time No See
L8R	Later
M OR F	male or female
M	am
MTE	My Thoughts Exactly
M8	Mate
NRN	No Reply Necessary
OIC	Oh I See
PITA	Pain In The Ass
PRT	Party
PRW	Parents Are Watching
QPSA	Que Pasa
ROFL	Rolling On The Floor Laughing
ROFLOL	Rolling On The Floor Laughing Out Loud
ROTFLMAO	Rolling On The Floor Laughing My A.. Off
R	are
RU	are you
SK8	Skate
STATS	Your sex and age
THX	Thank You
TONITE	tonight
TTFN	Ta-Ta For Now!
TTYL	Talk To You Later
U	You
UR	You Are
U2	You Too
U4E	Yours For Ever
WANNA	want to
WB	Welcome Back
WTF	What The F...
WTG	Way To Go!
WUF	Where Are You From?
W8	Wait...
7K	Sick
XXX	Sex
YA	You
